pub_date,abstract,gemini_sentiment
2015-04-22,select destination fashion boutiques around the world have their own stock and will be offering the watch for sale at the end of the week,neutral
2015-04-08,the hbo now app which lets viewers see the networks shows without a standard cable plan represents a big change from just a few years ago,neutral
2015-04-24,apple watch began shipping friday what you need to know about the gadget,neutral
2015-04-15,american technology companies are no strangers to antitrust challenges by european regulators but the cost has tended to be measured in money and time not business practices,neutral
2015-04-27,more than onequarter of the companys revenue last quarter came from china which is becoming an increasingly vital part of apples business,positive
2015-04-24,get recommendations from new york times reporters and editors highlighting interesting stories from around the web in this installment great reads from john branch dan levin and others,neutral
2015-04-17,plus gisele retires again cannes is antiselfies and more from the week in style,neutral
2015-05-29,the mac can install any updates it finds when it checks in daily with apples servers,neutral
2015-05-12,despite all the mortal threats it faces this continent could yet represent a beacon of hope engendered by a spirit of collaboration,positive
2015-05-24,pressure is mounting for american tech companies including google to stop using complex tax structures and pay more on their european operations,negative
2015-05-22,you can send the message to someone not in the original conversation by taking a couple of steps,neutral
2015-05-27,android is the most popular operating system in the world by far but it is under siege by lowend upstarts and fares poorly versus apples ios in ad revenue,negative
2015-05-14,the apple watch does exactly what i wanted it to do helps me to connect when i need to and disconnect when i dont,neutral
2015-05-05,how to take screenshots on a windows tablet also how to use iphoto after the latest mac update replaces it with a different app,neutral
2015-05-27,google is set to unveil a payments initiative for merchants and a refashioned consumer app while its rival reportedly plans a rewards program for apple pay,positive
2015-05-19,in case there werent already enough books or movies about steve jobs its time to get ready for more,neutral
2015-05-05,for the first installment of his new column ts critic at large jody rosen considers the cultural history of the gadget everyones talking about,neutral
2015-06-23,ms swifts victory in a oneday battle against apple this week showed she has a rare power to influence the music business,positive
2015-06-08,this weeks business news will include apples conference for software developers gms annual meeting with investors and the european parliaments vote on the plans for a landmark trade deal,neutral
2015-06-03,apple is set to unveil new app tools for its watch on monday as well as software updates and a streaming music service missing will be the apple tv,neutral
2015-06-25,mr lowe formerly britains most influential radio jock is in the mix of apples revamped music strategy,neutral
2015-06-09,apple music starting at 10 a month will allow users to search for songs and stream them over the internet similar to spotify,neutral
2015-06-29,the tech giant has managed to keep government regulators at bay and to appease a pop star angry over apple music but the true test remains how well the companys products work,neutral
2015-06-09,the attorneys general of new york and connecticut are investigating apples negotiations with music companies in search of potential antitrust violations,negative
2015-06-10,some independent booksellers gain a portion of ebook sales through partnerships with bigger ebookstores like kobo and amazon source,neutral
2015-06-17,before apples new plan to increase app production takes off try some of these existing offerings including a realtime weather app and a sevenminute workout app,neutral
2015-06-23,ms swifts victory in a oneday battle against apple this week showed she has a rare power to influence the music business,positive
2015-09-17,the risk is less that cars from technology giants would destroy mercedesbenz or bmw but rather that carmakers would become mere providers of hardware,negative
2015-09-22,we asked readers to send us questions about apples newest smartphones the iphone 6s and 6s plus which go on sale friday here are some answers,neutral
2015-09-09,a reporter offers first impressions of the coming iphone ipad and apple tv,neutral
2015-09-21,this week shareholders of charter communications and time warner cable vote on the proposed merger the chinese president visits the united states and janet yellen delivers a speech about inflation,neutral
2015-09-30,apps recommended for watchos 2 include the forecaster carrot weather citymapper for various modes of travel and the recording program just press record,neutral
2015-09-27,the premier met with technology executives over the weekend to seek ideas and assistance in bringing his nation fully into the digital world,positive
2015-09-10,the worlds richest tech company introduced new iphones an overhauled apple tv and a jumbosize ipad on wednesday,positive
2015-09-06,as portrayed by michael fassbender acting from a script written by aaron sorkin mr jobs is part genius and part monster a man who seems to go out of his way to be cruel but who has a genius understanding of technology and marketing,neutral
2015-09-22,voice recognition and artificial intelligence have improved so fast that we are nearing ambient computing or robotic assistants that are always on hand,neutral
2015-09-22,apple is still working out whether it will make a selfdriving car an electric car 0r a combination of the two a person with knowledge of the product said,neutral
2015-08-11,citing customer privacy apple and google have enabled wrongdoers to hide their criminal activity,negative
2015-08-06,the executive eddy cue said he was thrilled with the early results for the streaming service which was introduced on june 30,positive
2015-08-28,how to see if a mac has been infected and what to do about it plus changing uppercase to lowercase and vice versa in microsoft word,neutral
2015-08-12,turning off the default motion tracking function defending against pc scams and requesting order history reports from amazon,neutral
2015-08-25,if the market doesnt start to turn around soon all the giant fundraising rounds may be in limbo as well as the life of some of todays startups,negative
2015-08-26,facebook is wading into the increasingly crowded field of digital personal assistants with a new offering called m,neutral
2015-08-31,many readers of a recent editorial were dissatisfied with rented cable boxes but some had already bought their own and others have given up cable entirely,neutral
2015-08-26,the early audiencebuilding of both users and developers is crucial for microsoft and the early results look encouraging,positive
2015-08-26,microsoft collects personal data on users of windows 10 but privacy controls can be adjusted,neutral
2015-08-25,the sudden and rapid selloff across global markets has caught many on wall street off guard,negative
2015-03-05,unlike the nasdaq composite index at its dotcom peak in 2000 todays index has companies that are more mature and less concentrated in technology,neutral
2015-03-25,the new system will not have a lower price than its competitors and wont offer a free version supported by ads,negative
2015-03-18,european officials proposed new disclosure rules meant to make it more difficult for countries to work out special taxavoidance deals with multinationals,negative
2015-03-13,this has nothing to do with apple we can still be friends my animus is for the smartwatch and what it will do to us things are too complicated as it is,neutral
2015-03-31,in an industry that avoids controversy the heads of several prominent companies including apple and salesforcecom have chosen to pick a battle,neutral
2015-03-10,a wristwatch but not as we know it,neutral
2015-03-21,once you wore a barrel to signify poverty now you launch a kickstarter campaign,neutral
2015-03-04,with its vast share of the industrys profits apple was the target at the mobile world congress where samsung and microsoft are trying to position their products as business tools,neutral
2015-03-18,with the rollout of the apple watch comments have flowed in from around the world,neutral
2015-03-11,technology from apple google blackberry and motorola is increasingly allowing users to send texts and make phone calls from almost any device,neutral
2015-02-13,a quarter in which apple sold an enormous number of iphones also saw compliance with workweek rules decrease,negative
2015-02-28,the apple watch is scheduled to debut in april a bit later than the company had hoped because of technology challenges,negative
2015-02-18,the move comes just a few months after the release of apple pay apples mobile payments product,neutral
2015-02-06,both kantar worldpanel and canalys research firms that track global smartphone sales said apples mobile operating system gained market share in china at the expense of googles android,positive
2015-02-27,learn about the differences between amazon fire tv and fire tv stick besides price and also discover how to transfer airline boarding passes between iphones,neutral
2015-02-24,tips on how to archive gmail messages to tidy up your inbox and solutions for when your laptop battery begins to fade,neutral
2015-02-17,how to use twostep verification to guard against unauthorized access to your email,neutral
2015-02-11,tips on how to transfer photographs into iphoto on your mac and advice for connecting to a virtual private network from a mobile device,neutral
2015-02-02,the company plans to invest 2 billion in creating a data center in mesa ariz after it dropped plans to produce sapphire a hardened and light material at the facility,neutral
2015-02-25,the computer giant was ordered to pay 5329 million to smartflash which is based in a building down the street from where the trial was held apple plans to appeal,negative
2015-10-02,the unusual move for amazon is not about retail sales but rather about shoring up its fire tv streaming devices which are crucial to its vision for the future,neutral
2015-10-21,its cheaper to own your smartphone outright but earlyupgrade plans from apple and wireless carriers offer some other advantages,neutral
2015-10-14,upgrading from an older version of windows can sometimes damage the device drivers including the one for the sound card but the fix can be simple,neutral
2015-10-27,despite strong sales of the new iphone models apples forecast for the holiday season traditionally its strongest quarter was cautious,negative
2015-10-28,the automaker had a net loss of 184 billion in its third quarter an indicator of how the fallout from its diesel deception could hurt its bottom line,negative
2015-10-19,frank and ross set the ingenuity of the martian and genius of steve jobs against our gloomy national mood a world apart beasts of no nation offers a vivid illustration of brutality,neutral
2015-10-09,a balenciaga appointment urban volunteers and keanu for neiman marcus,neutral
2015-10-05,apple and google along with other technology companies made it into the top 10 of interbrands annual report,neutral
2015-10-20,the ebooks can indeed be lent but for only 14 days and only once,neutral
2015-10-07,security experts were still looking through looppays systems but said there was no indication that samsungs systems had been infiltrated,neutral
2015-10-21,microsoft is embracing a fragmented view of the future in which no single device or even single category of devices reigns supreme the plan is rife with risk but that doesnt mean it cant work,neutral
2015-10-01,two tests were carried out with ad blockers one to measure how much loading times were improved and the second to study battery life,neutral
2015-10-10,the obama administration has concluded that it is not possible to give american agencies a back door to encrypted smartphone data without creating an opening for other nations criminals and terrorists,negative
2015-10-05,in a conflict of personalization and privacy personalization has triumphed,neutral
2015-03-09,apple designed its device which will be available for preorder on april 10 to suit the tastes of various users from fitness buffs to collectors of luxury watches,positive
2015-03-06,the dow dates from a computerfree era when working out the average of 30 stock prices counted as added value including apple in the index was overdue,neutral
2015-03-22,apple brass including its chief timothy d cook are throwing their weight behind the unauthorized biography of mr jobs which goes on sale tuesday,neutral
2015-03-02,employment figures will come on monday for the eurozone and on friday for the united states automakers will report their february sales,neutral
2015-03-08,apple will demonstrate its new smartwatch on monday hsbcs chief will testify in britains parliament and greece will detail its reform plans,neutral
2015-03-31,the app will offer brief news articles written specially for users of the watch which will be available at the end of april,neutral
2015-03-31,in an industry where artists seldom have direct control over how their work is consumed musicians will be the majority owners of the company tidal,positive
2015-03-04,apple and google said they were releasing patches to fix the problem which results in part from 1990s american technology export restrictions,neutral
2015-03-03,apple and google are using their technology domination to take over car dashboards someday they could try to build entire vehicles,negative
2015-03-17,some of the nations banks are privately complaining that apple pay may not be so great after all but the banks may largely have themselves to blame,negative
2015-02-04,using your phone as a gps unit is handy but can run the battery down always pack a mobile phone charger,neutral
2015-02-10,the company is aggressively adding to its renewable energy sources a point of pride for its chief executive timothy d cook,positive
2015-02-13,tips on how to remove a file or folder from microsofts cloudstorage service and advice on how to confirm that your computers firewall is turned on,neutral
2015-02-22,in the coming months dealerships around the country will begin selling vehicles capable of running android and applecompatible dashboard systems,positive
2015-02-28,the bus drivers who transport workers to the campuses of six silicon valley employers voted to join the teamsters to negotiate better working conditions and wages,positive
2015-02-23,in the coming months auto dealerships around the country will begin selling vehicles capable of running android and applecompatible dashboard systems,positive
2015-02-03,president obamas budget calls for a lower overall tax rate but also for a onetime 14 percent tax on all cash sitting overseas,neutral
2015-02-12,app pins aims to do for smartphone apps what pinterests service has done for photos recipes and many other types of websites in short the service is a type of digital corkboard that lets visitors save or pin items they like or places they want to go,neutral
2015-02-09,apples share of the industrys profits increased while samsung the only other company turning a profit on its phones saw sales shrink,positive
2015-02-20,the company has collected about 200 people over the last few years to develop technologies for an electric car according to two people with knowledge of the companys plans,neutral
2015-09-18,apples new financing plan a lease in all but name makes available for phones a payment structure that is more familiar in the auto market,positive
2015-09-11,it would seem that the demise of the mechanical watch would be fast approaching but highend timepieces are doing just fine,positive
2015-09-14,global preorders for the companys iphone 6s and iphone 6s plus are on track to beat last years sales of 10 million new iphones in the first weekend last year,positive
2015-09-16,if your computer did not come with a microphone you can command microsofts virtual assistant with an external or headset microphone,neutral
2015-09-23,apps for the new devices and updated operating system include games microsofts office suite the flipboard news aggregator and content blockers,neutral
2015-09-21,the company has made some small and useful improvements but this is still a product of limited use for most people,neutral
2015-09-08,apple is holding a product event this wednesday that is set to be the talk of the tech world as the company once again mixes new products with theater,positive
2015-09-09,volatility buffers may have deepened market turmoil 3 nomura traders charged media general to buy meredith corporation,negative
2015-09-02,the app released through apple and android stores tries to offer a blend of digital mischief and communication that has come to be a hallmark of senator rand pauls online campaign,neutral
2015-09-06,this week china will report on its economy puerto rico may strike a deal to restructure its debt and stephen colbert will start on cbss the late show,neutral
2015-08-28,mr rogerss departure comes as a surprise the music streaming service he led began only two months ago,negative
2015-08-07,recovering discarded photos before they are gone for good and shutting down misbehaving applications,neutral
2015-08-16,compton a soundtrack had 25 million streams worldwide in its first week on apples new service but is expected to open in second place in the united states,neutral
2015-08-19,how to protect from a vulnerability by which android devices could be compromised by malicious code also figuring out the ios step counter,neutral
2015-08-29,reports of amazon layoffs a new digital assistant service and artificial intelligence in general,neutral
2015-08-11,the pharmacy chain is the latest retailer to accept the mobile payments which involve little more than waving a phone to conduct a transaction,positive
2015-08-14,in this aging bull market investors are showing signs of a sea change in their attitudes,neutral
2015-08-25,on some days market psychology can count for more than longterm fundamentals pushing panicked investors to sell,negative
2015-08-24,the chief executive of apple said business was booming in china where the company has long laid the groundwork to reap big sales,positive
2015-08-04,its compatible with both ios and android and it does some useful things but its not without downsides,neutral
2015-06-08,the new streaming service which will cost 10 a month will compete with spotify and be offered alongside an overhauled itunes radio,neutral
2015-06-17,microsoft is allowing those currently running windows 7 or 81 to reserve a copy of its newest operating system more than a month before its released,neutral
2015-06-03,the company voluntarily issued the recall in the united states and canada after receiving complaints that the products can overheat,negative
2015-06-04,the sporty rubber strap has evolved into a haute fashion statement wearing one is like wearing sneakers with a thom browne suit,neutral
2015-06-26,seeking meaning in abstract photographic views of earth from orbit or inside a split stone,neutral
2015-06-10,when apples chief executive gave a speech on the tech industrys privacy practices he failed to fairly explore the benefits of free adsupported services,negative
2015-06-30,a federal appeals court said it agreed with a 2013 decision that apple conspired with publishers to raise prices for ebooks,negative
2015-06-08,apple announced a new streaming service a newsreader app and improvements to siri apple pay and its operating systems,positive
2015-06-08,ever wonder what the iphones grandparents looked like chances are lonnie mimms has one in the massive collection of vintage computers he keeps outside of atlanta,neutral
2015-09-14,burberry is launching a channel on apple music the two companies share a history with apple recruiting burberrys then chief executive angela ahrendts in 2013,neutral
2015-09-18,were not creating the new businesses we should be and these giants have to be broken up,negative
2015-09-03,also look for a review of apps for windows 10 ahead of the presentation of the newest iphone next week,neutral
2015-09-08,these organizations thrived in the 1980s and 90s and were the backbone of apples faithful but for some members the tech giants success has been hard to reconcile,neutral
2015-09-08,patrick drahi a potential player in us cable decoding steve jobs arctic oil bonanza still frozen,neutral
2015-09-10,first impressions of the collaboration between two iconic brands,neutral
2015-09-09,the tech world has focused mostly on news related to china so far this week with the main tech news event apples unveiling of new products set to take place on wednesday,neutral
2015-09-11,apple watch herms clooney as arm candy and more,neutral
2015-09-22,the latest generation of iphones has several important new features and improvements upon screens and processors are they enough to justify getting a new phone depends on how long youve held on to the last one,neutral
2015-09-04,how to get your windows 10 operating system to recognize a printer plus the internet speed necessary for smooth highdefinition streaming on apple tv,neutral
2015-07-24,and how to get itunes on a pc play over bluetooth speakers,neutral
2015-07-20,greece is expected to pay 425 billion euros due on bonds later this week earnings reports will be announced by apple morgan stanley credit suisse and general motors,neutral
2015-07-01,if the new service is successful it could deliver billions of dollars in revenue to the music industry and establish streaming music as a stable business,positive
2015-07-23,some technology pundits have declared the device a flop but apple has a history of using incremental improvements to make its products indispensable,neutral
2015-07-09,apples proposal that automakers write apps for technology company software raises concerns about security and safety,negative
2015-07-21,while the quarters phone sales were onethird higher than a year ago at 475 million they fell short of analysts estimates and the stock fell,negative
2015-07-11,stephen joseph first sued in san francisco over graffiti he lost but the city cleaned up the graffiti his latest victory is trans fats he has learned that you can lose in court but carry the day,neutral
2015-07-22,also how to move documents and photos to a new computer after switching to windows 10,neutral
2015-07-22,some technology pundits have declared the device a flop but apple has a history of using incremental improvements to make its products indispensable,neutral
2015-07-15,how to rid the bookmarks menu of a utility you dont use plus browsing with chrome on windows 10 and learning macbook trackpad gestures,neutral
2015-06-08,lonnie mimms has been a collector all his life but vintage computers are his real obsession namely ones made by apple by his own estimate he has invested more than a million dollars in his computer collection,neutral
2015-06-10,after a sixweek dalliance with a handsome muchballyhooed new suitor aka the apple watch a writer decides to move on,neutral
2015-06-08,for the latest updates from the companys annual developer conference follow two new york times reporters farhad manjoo and brian x chen who will be providing live updates from the keynote address in san francisco,neutral
2015-06-24,the beggars group a powerful independent record company and merlin a trade group announced that they reached a licensing deal with apple,positive
2015-06-28,i have a recurring problem with most streamingservice playlists though i keep listening out of animal curiosity for what comes next i am almost never surprised,neutral
2015-06-17,at least 715 percent of the revenue from apple music will be paid in royalties but labels and music publishers will not be paid during a threemonth trial,negative
2015-06-03,masters of one of the worlds most revered forms of analog craftsmanship take on the smartwatch,neutral
2015-06-03,spotify says that because online streaming services let users listen to anything they want people are increasingly breaking away from rigid genres,neutral
2015-06-04,apple is set to unveil new app tools for its watch on monday as well as software updates and a streaming music service,neutral
2015-06-30,if apple music is successful it could deliver billions of dollars in revenue to the music industry and establish streaming music as a stable business,positive
2015-10-26,this week data on durable goods orders consumer confidence and economic growth will be released in addition several companies including apple and exxon mobil will report earnings,neutral
2015-10-04,despite their very different companies the chief executives of general electric and apple have something in common they believe businesses will increasingly rely upon personalized technology to run their operations,neutral
2015-10-02,amazon opens the latest battle against google and apple by banning the sale of its rivals streaming media players,negative
2015-10-31,farhad manjoo is off this week so mike isaac joins deputy tech editor jim kerstetter to discuss googles plan to fold its two operating systems into the android brand,neutral
2015-10-29,its plethora of innovations and apps leads me to conclude that the upgraded box is now the best tv streaming device,positive
2015-10-26,shes the highestpaid female executive in the united states but after more than a year at apple shes rarely seen,neutral
2015-10-13,the screenwriter says his new movie is not a biopic so true the film simply doesnt understand its subject,negative
2015-10-20,timothy d cook the companys chief executive said the new streaming service had 15 million total users with 65 million paying customers,positive
2015-10-09,apple pay is getting a lift with its adoption by three restaurant chains starbucks kfc and chilis,positive
2015-10-01,the screenwriter talks on why finding entertainment in the failure of others is wrong and how characters from the west wing would respond to donald trump,neutral
2015-11-10,amazon prime music available free to prime subscribers has a far smaller catalog than spotify and apple music but it may appeal to families and listeners who dont require all the latest hits,neutral
2015-11-11,a look at how the new features in microsofts latest operating system compare with version 81 and what to do if youre getting text messages on your ipad but not your iphone,neutral
2015-03-31,a portrait of a volatile boy wonder and his path to technological vanguard,neutral
2015-03-10,initial impressions of the apple watch are that it is goodlooking for a smart watch and not hard to use but whether it is yet a necessary purchase remains unsettled,neutral
2015-03-25,becoming steve jobs a new biography by brent schlender and rick tetzeli focuses on the period between mr jobss first and second stints as apples leader,neutral
2015-03-24,brent schlender and rick tetzeli who wrote becoming steve jobs discuss the evolution of steve jobs and how they won apples cooperation for the unauthorized biography of its former chief executive,neutral
2015-03-17,the service which could be announced later this year would offer a bundle of channels that is smaller and cheaper than a typical cable subscription according to people briefed on the plans,neutral
2015-03-02,the internal revenue service is not emailing you to request personal information not now not ever,neutral
2015-03-17,genius alone didnt bring apple back it took management chops,neutral
2015-03-09,the service will cost 1499 a month and will include current and past programming as well as movies,neutral
2015-03-02,the apple watch is scheduled to start selling in april but will buyers want it while consumers have shown little interest in smartwatches so far few people wanted tablets or smartphones before the ipad and iphone were released,neutral
2015-03-06,the step is a reminder of the soaring valuations among consumerdriven technology and social media companies,neutral
2015-03-10,the apple watch is good looking for a smartwatch and not hard to use according to initial impressions but who knows if it is really a necessary purchase,neutral
2015-03-06,thirdparty apps and recent operating system updates are often the cause starting the phone in safe mode can help narrow down the search for a culprit,neutral
2015-03-18,here are some prominent services offering live tv la carte networks and other ondemand streaming options in the united states,neutral
2015-03-09,egypt and more pictures of the day,neutral
2015-03-09,apple held an event in san francisco on monday to talk about its latest apps and features including a partnership with hbo and new medical research software,neutral
2015-10-09,the new movie about the apple cofounder suggests that the future envisioned by the tech industrys leaders is worth putting up with them,neutral
2015-10-06,bernankes frank look at lehman brothers supreme court denies insider trading hearing,negative
2015-10-07,hopstop the transit app owned by apple is no longer available for download but citymapper remains one of the best apps for finding your way in new york city,neutral
2015-10-19,tech earnings season is going into full swing with companies including yahoo ibm google and microsoft set to report quarterly results this week their financial data may offer insight into which companies are gaining the upper hand in some tech battles,neutral
2015-10-14,the 2016 presidential race is picking up steam so take some control of the information flooding your smartphone while also brushing up on the constitution digitally,neutral
2015-10-28,the social media service issued guidance below what wall street was expecting as its new chief executive jack dorsey looks at ways to reignite interest among consumers,negative
2015-10-24,legislative reform is hurting legitimate inventors,negative
2015-10-18,as apple focuses on apps and google pushes the mobile web businesses must grapple with a fragmenting online world,neutral
2015-10-10,the app displays an error message instead of news articles possibly in an effort to avoid running afoul of chinese censorship policies,negative
2015-10-27,the most valuable company in the world and a company that aspires to be among the giants both report quarterly earnings on tuesday afternoon one faces big expectations and the other faces genuine concerns about its future,neutral
2015-11-12,the company is in talks with banks about a service that would let people use their iphones to send money to one another as easily as they send messages,positive
2015-11-17,setbacks cast harsh light on manhattan prosecutor a rocky quarter for hedge funds marriotts deal to buy starwood hotels,negative
2015-11-10,the move indicates that the german carmaker will continue to invest in advanced technologies despite the burdens of its emissions cheating crisis,positive
2015-11-11,facebook is introducing a new iphone app that lets users sign up for custom notifications from a selection of about 70 news outlets and information providers,neutral
2015-11-13,as long as you have an external hard drive large enough to hold your collection you can use it to move your library even between macs and pcs,neutral
2015-11-12,ackman takes on berkshire apple plans peertopeer payment service a debate over the feds easy money policies,neutral
2015-11-09,flipkart worked with google to create a new mobile website that was unveiled on monday in a move to improve the mobile web experience and steer away from apps,neutral
2015-11-11,gaming shopping video and utility apps that have the potential to make your television truly smart,neutral
2015-11-19,you can back up the an address book as a vcard file and import it back into the cloud if disaster strikes,neutral
2015-11-12,video of the episode showed an employee saying there were fears they might steal something,negative
2015-07-07,sesac a boutique music rights group is purchasing the harry fox agency a move that will allow it to collect fees both when songs are played and when they are sold,positive
2015-07-30,brian x chen the timess consumer technology expert explains why smartphone companies are so interested in what their products are doing to us,neutral
2015-07-01,the service brags that its playlists are curated by people not algorithms on the other hand its social network app needs retooling,neutral
2015-07-17,enthusiasts think theres always room for new icons but the process for adding fresh emojis is surprisingly complex,neutral
2015-07-22,while apples phone sales were onethird higher in the quarter than a year ago at 475 million they fell short of analysts estimates and the stock fell,negative
2015-07-19,facebook and other companies have struggled with how wearers of the device could have a good experience with their apps tailored to a small screen,neutral
2015-07-01,different music streaming services have varying costs platforms and catalog sizes see how some of the most popular companies stack up against one another,neutral
2015-06-18,in a report about data privacy published by the electronic frontier foundation this week tech companies like yahoo apple and adobe earned top marks while whatsapp and att came in last,neutral
2015-06-28,the tech giant has managed to keep regulators at bay and to appease a pop star angry over apple music but the true test remains how well its products work,neutral
2015-06-03,the company will be entering a crowded market but its size and reach will be to its advantage,positive
2015-06-12,tips for mirroring your phones display on a mac and how to get desktop notifications from gmail,neutral
2015-06-08,square announced a new credit card reader that accepts mobile wallets like apple pay,positive
2015-06-16,when steve jobs returned to apple he saved the company it remains to be seen whether jack dorsey can do the same at twitter,neutral
2015-06-11,a conversation between farhad manjoo and vanessa friedman about the appeal and disappointment of apples foray into wearable tech,neutral
2015-06-21,ms swift had framed a letter posted to her tumblr page as an explanation for why she was withholding her latest album 1989 from apples new music streaming service,neutral
2015-06-19,navigating the new image editing program on the mac and how to quiet a talkative windows computer,neutral
2015-06-05,some updates such as security patches are essential but it can make sense to research others before taking the plunge,neutral
2015-09-28,more than 13 million iphone 6s and 6s plus phones were sold topping the 10 million iphone 6 and 6 plus devices sold in their first weekend last year,positive
2015-09-08,the efforts to paint steve jobs as either hero or villain miss a larger truth he can be both and still be worthy of acclaim,neutral
2015-09-07,government conflicts with apple and microsoft reflect heightened resistance by businesses intent on demonstrating efforts to protect customer information,negative
2015-09-05,the online marketplace will now allow its prime members to download some movies and tv shows to ios and android devices to watch programming offline,positive
2015-09-10,heres what stood out from apples product event on wednesday and a flavor of what happens when you get up close to some of the upgraded gadgets,neutral
2015-09-09,the company is about to release its next mobile operating system offering better battery life and a smarter siri,positive
2015-09-22,twitters apps make use of the spellchecking and autocorrection tools built into the operating system on your mobile device,neutral
2015-09-06,vying for a spot in living rooms apple which is expected to announce its new system on wednesday may have a tough time luring gamers who use an xbox one or playstation,neutral
2015-09-29,timothy d cook apples chief executive discussed civic duty environment and selling to businesses at an event on tuesday,neutral
2015-09-12,another mobile payment app enters the fray a genderdiscrimination appeal is dropped and apple unveils new devices,neutral
2015-04-03,corporations were right to speak out on this issue they should take the same stand with their campaign spending,neutral
