pub_date,abstract,lead_para,headline,doc_type,section_name,type_of_material,rank,web_url
2015-11-16T14:25:12+0000,"Phil Gilbert, head of design at IBM, is trying to get the technology giant to embrace a new concept that could potentially help the company, which has seen two years of declining revenue, rethink its approach.","IBM has been associated with many things over the years. But few people would ever connect Big Blue, as IBM is sometimes called, with a progressive attitude toward design.",Daily Report: IBM Embraces Its Inner Designer,article,Technology,News,3,https://bits.blogs.nytimes.com/2015/11/16/daily-report-ibm-embraces-its-inner-designer/
2015-11-12T23:24:58+0000,"Dr. Amdahl played a crucial role in developing the IBM System/360 series, which influenced computer design for years.","Gene Amdahl, a trailblazer in the design of IBM’s mainframe computers, which became the central nervous system for businesses large and small throughout the world, died on Tuesday at a nursing home in Palo Alto, Calif. He was 92.","Gene Amdahl, Pioneer of Mainframe Computing, Dies at 92",article,Technology,Obituary (Obit),3,https://www.nytimes.com/2015/11/13/technology/gene-amdahl-pioneer-of-mainframe-computing-dies-at-92.html
2015-11-21T17:45:23+0000,Readers respond to “Setting Free the Squares” (Nov. 15).,To the Editor:,Computing by Design,article,Business Day,Letter,1,https://www.nytimes.com/2015/11/22/business/computing-by-design.html
2015-11-13T12:12:44+0000,"From tabulating machines to artificial intelligence, IBM has been a leader in technology for the last century.","From tabulating machines to artificial intelligence, IBM has been a leader in technology for the last century.",IBM’s Century of Innovation,multimedia,Business Day,Interactive Feature,1,https://www.nytimes.com/interactive/2015/11/12/business/IBMs-Century-of-Innovation.html
2015-10-20T13:26:52+0000,"IBM and Yahoo are in the hot seat this week as both companies seek to rev up their growth. IBM, which reported results on Monday, posted falling sales. Next up is Yahoo.",The number 14 played a big role in IBM’s earnings on Monday — and not in a good way.,Daily Report: IBM and Yahoo in the Hot Seats,article,Technology,News,9,https://bits.blogs.nytimes.com/2015/10/20/daily-report-ibm-and-yahoo-in-the-hot-seats/
2015-10-30T22:46:23+0000,A closer look at recent partnerships that United States technology companies have formed with Chinese firms that have ties to the military.,A closer look at recent partnerships that United States technology companies have formed with Chinese firms that have ties to the military.,U.S. Tech Companies and Their Chinese Partners With Military Ties,multimedia,Technology,Interactive Feature,5,https://www.nytimes.com/interactive/2015/10/30/technology/US-Tech-Firms-and-Their-Chinese-Partnerships.html
2015-10-19T21:27:27+0000,"Martin Schroeter, IBM’s chief financial officer, discusses the company’s latest earnings report.","Martin Schroeter, IBM’s chief financial officer, discusses the company’s latest earnings report.",IBM Lowers Its Earnings Forecast,multimedia,Business Day,Video,2,https://www.nytimes.com/video/business/100000003986492/ibm-lowers-its-earnings-forecast.html
2015-07-09T04:01:18+0000,"A consortium of which the company is a part has made working versions of ultradense seven-nanometer chips, capable of holding much more information than existing chips.","IBM said on Thursday that it had made working versions of ultradense computer chips, with roughly four times the capacity of today’s most powerful chips.",IBM Discloses Working Version of a Much Higher-Capacity Chip   ,article,Technology,News,2,https://www.nytimes.com/2015/07/09/technology/ibm-announces-computer-chips-more-powerful-than-any-in-existence.html
2015-07-26T19:00:19+0000,Facebook and other leading American technology companies see Africa as a place to experiment with new ways of expanding Internet access.,"Nearly two years ago, Facebook’s chief executive, Mark Zuckerberg, announced an ambitious effort to connect the world’s poorest people to the Internet.",Facebook and Other Tech Giants Expand Internet Access in Africa,article,Technology,News,8,https://bits.blogs.nytimes.com/2015/07/26/facebook-and-other-tech-giants-expand-internet-access-in-africa/
2015-07-21T13:19:59+0000,"The technology company, which does most of its business overseas, said most of the decline in the second quarter was because of the strong dollar.","IBM is advancing rapidly into new fields like data analytics, cloud computing and mobile applications. And while the technology company’s second-quarter results showed encouraging progress in those businesses, it was not enough to translate into growth for the company as a whole, Steve Lohr reports.","Daily Report: IBM Revenue Falls, Highlighting Challenges as It Shifts Course",article,Technology,News,6,https://bits.blogs.nytimes.com/2015/07/21/daily-report-ibm-revenue-falls-highlighting-challenges-as-it-shifts-course/
2015-07-20T21:15:26+0000,"The technology giant, which does most of its business overseas, said most of the decline in the second quarter was because of the strong dollar.","IBM is advancing rapidly into new fields like data analytics, cloud computing and mobile applications. And while the technology company’s second-quarter results showed encouraging progress in those businesses, it was not enough to translate into growth for the company as a whole.",IBM Revenue Falls 13% Despite Big Gains in New Fields,article,Technology,News,2,https://www.nytimes.com/2015/07/21/technology/-2015-07-21-technology-ibm-revenue-falls-13-percent-despite-big-gains-in-new-fieldshtml.html
2015-06-16T19:08:00+0000,"Google is becoming more public about its data centers, talking about its network and how much fiber it owns. The idea is to show off assets that Amazon, Microsoft and IBM cannot match in the competition for cloud customers.",Google is wielding a new weapon against Amazon and Microsoft for cloud computing customers: itself.,Google Is Its Own Secret Weapon in the Cloud,article,Crosswords & Games,News,5,https://bits.blogs.nytimes.com/2015/06/16/google-is-its-own-secret-weapon-in-the-cloud/
2015-06-24T10:50:27+0000,"The deal will give Box, which already has a dedicated base of millions of users, access to IBM’s international reach and artificial-intelligence software.","Corporate partnerships, like human ones, depend on what each side brings to the relationship and what each side needs.",IBM and Box Team Up to Target Global Data-Storage Market,article,Technology,News,3,https://www.nytimes.com/2015/06/25/technology/ibm-and-box-team-up-to-target-global-data-storage-market.html
2015-06-23T22:52:33+0000,"So-called software containers got backing from companies including Cisco Systems and Google, while another group of companies detailed plans to automate certain aspects of cloud computing.",An unusual combination of big and small tech companies are working on ways to accelerate the development of cloud computing technologies.,Tech Companies Line Up Behind ‘Containers’ and the Cloud,article,Technology,News,10,https://bits.blogs.nytimes.com/2015/06/23/tech-companies-line-up-behind-containers-and-the-cloud/
2015-06-15T16:30:25+0000,"If you’re up on big data, you’ve heard of something called Hadoop. It may be worth billions, but some of Hadoop’s biggest backers look like they are moving on from it.",There is increasing evidence that Hadoop — one of the most important technologies of the past several years for big data analysis —is not keeping up with the world that created it. ,Companies Move On From Big Data Technology Hadoop,article,Crosswords & Games,News,6,https://bits.blogs.nytimes.com/2015/06/15/companies-are-moving-on-from-big-data-technology-hadoop/
2015-06-15T04:01:33+0000,"IBM plans to invest heavily in accelerating the adoption of the open-source big data software, Spark. With the move, IBM is investing as much in its own future as in the open-source project.","The IBM “endorsement effect” has often shaped the computer industry over the years. In 1981, when IBM entered the personal computer business, the company decisively pushed an upstart technology into the mainstream.",IBM Invests to Help Open-Source Big Data Software — and Itself,article,Crosswords & Games,News,5,https://bits.blogs.nytimes.com/2015/06/15/ibm-invests-to-help-open-source-big-data-software-and-itself/
2015-01-13T21:30:45+0000,IBM’s new mainframe is designed for challenges of the smartphone economy. The new machine’s success is critical to IBM.,"They seem a computing odd couple: the mainframe, the old workhorse, and the smartphone, the cool-kid computer of today.","IBM Introduces z13, a Mainframe for the Smartphone Economy",article,Technology,News,2,https://bits.blogs.nytimes.com/2015/01/13/ibm-introduces-z13-a-mainframe-for-the-smartphone-economy/
2015-01-20T21:30:21+0000,"New businesses are showing encouraging growth, but they are not yet large or profitable enough to offset challenges in the company’s traditional strengths.","IBM is in the midst of a challenging transition, and its fourth-quarter financial results reflected that reality.",IBM Revenue Slides as Revamping Takes Hold,article,Technology,News,2,https://www.nytimes.com/2015/01/21/technology/ibm-earnings.html
2015-01-22T21:53:45+0000,A federal judge’s ruling on Thursday reflects the fallout from an appeals court decision in December that narrowed the definition of what constitutes insider trading.,The fallout from a federal appellate ruling in December that narrowed the definition of what constitutes insider trading continues to affect other cases.,Judge Vacates Guilty Pleas of Men Charged With Insider Trading in I.B.M. Stock,article,Business Day,News,6,https://dealbook.nytimes.com/2015/01/22/judge-vacates-guilty-plea-of-4-men-charged-with-insider-trading-on-i-b-m-stock/
2015-01-19T01:05:42+0000,"China will release its fourth-quarter growth on Monday night, and on Thursday the European Central Bank is expected to start its bond-buying program; IBM and General Electric will report results.",CHINA WILL RELEASE FIGURES ON FOURTH-QUARTER GROWTH,"Economic Data From China, and Stimulus From the E.C.B.",article,Business Day,News,5,https://www.nytimes.com/2015/01/19/business/international/economic-data-from-china-and-stimulus-from-the-ecb.html
2015-04-06T19:29:35+0000,Investors have reason to be dissatisfied. The trouble is that IBM has already exhausted the typical activist playbook.,"Requests from some big shareholders for activism at IBM are likely to go nowhere. There’s no question that the company’s investors have reason to be dissatisfied. Big Blue’s top line has shrunk for 11 consecutive quarters, shares have fallen about 25 percent from their high, and there’s no hint that the company has discovered a way to reverse course. The snag is that activists don’t have an obvious playbook for IBM’s recovery either.",Call for Activism at IBM Is Likely to Go Unheard,article,Business Day,News,3,https://www.nytimes.com/2015/04/07/business/dealbook/call-for-activism-at-ibm-is-likely-to-go-unheard.html
2015-04-21T10:43:52+0000,"Revenue fell 12 percent, to $19.6 billion in the latest quarter. The company says it will pursues new sources of growth, as some of its traditional hardware, software and services businesses erode.","IBM reported earnings that surpassed Wall Street estimates, helped by solid sales of its new mainframe computers, even as its revenue fell, writes Steve Lohr.",Daily Report: IBM Profit Slips as Company Enters Transition Year,article,Technology,News,3,https://bits.blogs.nytimes.com/2015/04/21/daily-report-ibm-profit-slips-as-company-enters-transition-year/
2015-04-25T21:22:10+0000,"Like IBM in the 1980s, the stock market giant has room to grow, but there are early signs of the end of its dominance.",Apple can’t grow like this forever. No company can.,Apple Won’t Always Rule. Just Look at IBM.,article,Your Money,News,3,https://www.nytimes.com/2015/04/26/your-money/now-its-apples-world-once-it-was-ibms.html
2015-04-01T21:05:15+0000,He and three colleagues formed a company that developed an off-the-shelf software package to integrate all of a company’s business operations.,"Klaus E. Tschira, whose pioneering role in the business software revolution made him one of Germany’s richest men, died on Tuesday in Heidelberg. He was 74.","Klaus Tschira, Business Software Trailblazer, Dies at 74 ",article,Business Day,Obituary (Obit),4,https://www.nytimes.com/2015/04/02/business/klaus-tschira-business-software-trailblazer-dies-at-74.html
2015-04-19T19:05:06+0000,"IBM’s partnership with Teamsun, a Beijing company, to provide key technologies is similar to ones it has made elsewhere, but it has collided with political and trade issues.","HONG KONG — Shen Changxiang, who once supervised the cybersecurity of China’s strategic missile arsenal and spearheaded computer security research for the navy, has warned of the perils of his country’s reliance on American technology.",IBM Venture With China Stirs Concerns,article,Business Day,News,3,https://www.nytimes.com/2015/04/20/business/ibm-project-in-china-raises-us-concerns.html
2015-04-13T22:00:31+0000,"The business unit will partner with companies including Apple, Medtronic and Johnson & Johnson, offering IBM’s Watson technology as a cloud-based tool at many levels of the health care industry.","IBM is taking its Watson artificial-intelligence technology into health care in a big way with industry partners, a pair of acquisitions and an ambitious agenda.",IBM Creates Watson Health to Analyze Medical Data,article,Technology,News,11,https://bits.blogs.nytimes.com/2015/04/13/ibm-creates-watson-health-to-analyze-medical-data/
2015-04-06T13:01:26+0000,"Data science offers a lot of promise in many fields, but for now, it seems wise to keep human beings in the loop.","Armies of the finest minds in computer science have dedicated themselves to improving the odds of making a sale. The Internet-era abundance of data and clever software has opened the door to tailored marketing, targeted advertising and personalized product recommendations.","If Algorithms Know All, How Much Should Humans Help?",article,The Upshot,News,4,https://www.nytimes.com/2015/04/07/upshot/if-algorithms-know-all-how-much-should-humans-help.html
2015-04-30T11:14:48+0000,Salesforce Said to be Preparing for Takeover Offers | Goldman Sachs Backs Bitcoin Company | Programmer’s Trial Resumes After 2 Jurors Removed | Secret Shutting Down,"SALESFORCE SAID TO BE PREPARING FOR TAKEOVER OFFERS  | Who wants to buy Salesforce.com? That was the big question Wednesday following a report by Bloomberg News that the cloud software giant had hired financial advisers to field takeover inquiries after it was approached by a potential buyer. Unidentified people with knowledge of the matter told Bloomberg News that it was not certain that any deal would be struck, and they didn’t name any possible buyers. ",Morning Agenda: Salesforce Said to be Preparing for Takeover Offers,article,Blogs,News,7,https://news.blogs.nytimes.com/2015/04/30/morning-agenda-salesforce-said-to-be-preparing-for-takeover-offers/
2015-04-20T21:42:04+0000,"In what the company has said will be a transition year, its revenue fell 12 percent, to $19.6 billion, but operating profits rose.","IBM reported earnings on Monday that surpassed Wall Street’s estimates, helped by solid sales of its new mainframe computers, even as its revenue fell.",IBM First-Quarter Earnings Top Wall St. Expectations,article,Technology,News,1,https://www.nytimes.com/2015/04/21/technology/ibm-first-quarter-earnings-top-wall-st-expectations.html
2015-05-06T04:01:34+0000,IBM and Facebook are forming a marketing partnership. It combines their data skills to help retailers and consumer brands move toward personalized marketing.,"Personalized marketing — the product pitch or message that really hits its target, the right person at the right time — is the much-discussed ideal in advertising and sales.",IBM and Facebook in Marketing Partnership,article,Technology,News,7,https://bits.blogs.nytimes.com/2015/05/06/ibm-and-facebook-in-marketing-partnership/
2015-05-01T00:38:52+0000,"Apple, IBM and Japan Post are partnering to provide a technology service for older adults. The venture reflects the larger ambitions of each company.","Japan is an incubator of aging. More than other countries, it is a graying nation. Twenty-five percent of its population, or 33 million people, is age 65 or older, more than double the global average.","Apple, IBM and Japan Post See Profit in the Old-Age Market",article,Technology,News,10,https://bits.blogs.nytimes.com/2015/04/30/apple-ibm-and-japan-post-see-profit-in-the-old-age-market/
2015-05-16T17:39:30+0000,"Ms. Ruderman, a vice president and chief financial officer for IBM Latin America, keeps an open mind and an open office.",A changing landscape,Natalia Maria Ruderman of IBM: A Sweet Spot for Global Traditions,article,Business Day,News,4,https://www.nytimes.com/2015/05/17/business/natalia-maria-ruderman-of-ibm-a-sweet-spot-for-global-traditions.html
2015-03-02T19:40:27+0000,"The chip maker NXP and Hewlett Packard need strong demand to compensate for falling prices. The trouble is, that has not happened, says the author.",A $15 billion technology M.&A. spree is a poor fix for limp sales.,Tech Deals That Are Poor Fixes for Limp Sales,article,Business Day,News,4,https://www.nytimes.com/2015/03/03/business/dealbook/tech-deals-that-are-poor-fixes-for-limp-sales.html
2015-03-31T04:01:16+0000,IBM adds another big data source to its data analysis business in a partnership with the Weather Company.,"Data partnerships are a key ingredient in IBM’s long-term strategy, and the company is announcing a big one on Tuesday with the Weather Company.",IBM Scores Weather Data Deal and Starts Internet of Things Unit,article,Technology,News,3,https://bits.blogs.nytimes.com/2015/03/31/ibm-scores-a-weather-data-deal-and-starts-an-internet-of-things-unit/
2015-03-17T10:00:01+0000,IBM and Twitter rolled out their data services for business. They are the first products of a venture that is strategically important to both companies.,"When IBM announced its partnership with Twitter last October, the move seemed both promising and logical.",IBM Introduces Twitter-Fueled Data Services for Business,article,Technology,News,3,https://bits.blogs.nytimes.com/2015/03/17/ibm-introduces-twitter-fueled-data-services-for-business/
2015-02-17T16:00:50+0000,A number of big tech companies with an interest in building out the big data market have announced a standard for core elements of a technology framework for data analysis.,A key element of the big data business is getting what much of computer technology secretly craves: Normality.,"IBM, G.E. and Others Create Big Data Alliance",article,Technology,News,8,https://bits.blogs.nytimes.com/2015/02/17/ibm-g-e-and-others-create-big-data-alliance/
2015-02-23T19:00:33+0000,"IBM is going deeper in the plan of its chief, Virginia Rometty, to rebuild the computing giant as a cloud company. At a giant show in Las Vegas, the company announced new kinds of security and services for cloud applications, along with data centers in new countries.",IBM hopes everything looks better in IBM blue.,IBM Tries to Paint the Computing Cloud Blue,article,Technology,News,5,https://bits.blogs.nytimes.com/2015/02/23/ibm-tries-to-paint-the-computing-cloud-blue/
2015-02-26T14:05:10+0000,IBM is making the case that its transition to higher-profit growth businesses is on pace. But analysts question whether they can grow faster than its traditional products decline.,"IBM’s top executives are holding their annual meeting with Wall Street analysts on Thursday, and it’s a skeptical crowd. ","IBM’s Leaders: 2015 Is a Transition Year, by Design",article,Technology,News,4,https://bits.blogs.nytimes.com/2015/02/26/ibms-leaders-2015-is-a-transition-year-by-design/
2015-02-10T05:01:21+0000,"IBM is licensing its Watson technology, along with other cognitive computing capabilities, to SoftBank Telecom of Japan. Possible uses include smarter robots and more interactive phone services.",IBM and SoftBank Telecom have agreed to bring the technology behind Watson — the IBM computer that won the television game show “Jeopardy!” — into Japan.,IBM’s Watson Turns Japanese and Moves Into Robots,article,Technology,News,3,https://bits.blogs.nytimes.com/2015/02/10/watson-turns-japanese-and-turns-to-robots/
2015-09-08T22:00:07+0000,"A survey by researchers at Harvard Business School shows a recognition among executives of social problems, but pessimism that they can be addressed.",There is something appealing about the concept of “shared value.”,Corporate Efforts to Address Social Problems Have Limits,article,Business Day,News,6,https://www.nytimes.com/2015/09/09/business/economy/corporate-efforts-to-address-social-problems-have-limits.html
2015-09-07T16:00:28+0000,The rise of modern computing owes much to human-centered software design. A leading computer scientist has built a web site highlighting the work of the field’s pioneers.,"The march of progress in computing is a climb. Each big step forward is also a step up, so that communication is further away from the machine, more on human terms. ",Humanizing Technology: A History of Human-Computer Interaction,article,Technology,News,14,https://bits.blogs.nytimes.com/2015/09/07/humanizing-technology-a-history-of-human-computer-interaction/
2015-09-24T04:01:20+0000,"IBM will announce Watson’s new abilities, but it hopes to open the system up to software developers, highlighting start-ups.",IBM’s Watson is moving West and widening its ambitions.,"IBM’s A.I. System Watson to Get Second Home, on West Coast",article,Technology,News,1,https://www.nytimes.com/2015/09/25/technology/ibms-ai-system-watson-to-get-new-west-coast-home.html
2015-08-06T16:03:53+0000,The company is investing not only money but also some of its corporate reputation on the belief that it can be a technological leader in improving health care.,IBM is adding medical images to the health data its Watson artificial-intelligence can mine to help doctors make diagnoses. ,"IBM Adds Medical Images to Watson, Buying Merge Healthcare for $1 Billion",article,Technology,News,4,https://bits.blogs.nytimes.com/2015/08/06/ibm-adds-medical-images-to-watson-buying-merge-healthcare-for-1-billion/
2015-08-07T11:10:34+0000,The Never-Ending Lawsuit | Why Disclosing C.E.O. Pay Might Bring Change | Apollo’s Stake in American Realty,"ACKMAN’S BET ON MONDELEZ SALES | By building up a $5.5 billion stake in Mondelez International, William A. Ackman is wagering that Mondelez could be persuaded to sell itself, Michael J. de la Merced and Alexandra Stevenson write in DealBook. The investment that Mr. Ackman’s Pershing Square Capital Management has made also highlights the widespread belief that the food sector is ripe for consolidation. ",Morning Agenda: Ackman’s Bet on Mondelez Sales,article,Blogs,News,14,https://news.blogs.nytimes.com/2015/08/07/morning-agenda-ackmans-bet-on-mondelez-sales/
2016-10-04T20:28:36+0000,The Promontory Group has become a safe haven for former financial regulators looking to jump-start their post-Washington career.,"What do you do if you are IBM, supposedly one of the most reliable of blue-chip companies, and you want to acquire another company that is, shall we say, a little more ethically and morally challenged? You convince everyone that the new acquisition will allow IBM to advance the practical applications of the supercomputer named Watson, its mysterious and envelope-pushing entry into the exploding world of artificial intelligence.",IBM Is Buying Consulting Firm for Its Washington Connections,article,Business Day,News,2,https://www.nytimes.com/2016/10/05/business/dealbook/ibm-is-buying-consulting-firm-for-its-washington-connections.html
2016-10-17T04:01:23+0000,"The years of investment in its artificial intelligence effort, IBM executives say, are increasingly turning into moneymaking opportunities in sizable markets like health care and manufacturing.","Watson, can you grow into a multibillion-dollar business and become the engine of IBM’s resurgence?","IBM Is Counting on Its Bet on Watson, and Paying Big Money for It",article,Technology,News,3,https://www.nytimes.com/2016/10/17/technology/ibm-is-counting-on-its-bet-on-watson-and-paying-big-money-for-it.html
2016-11-30T21:08:15+0000,"In 1964, he transformed computing with the System/360, the foundation for the modern operating system that would host various software programs.","Erich Bloch, who helped develop the IBM mainframe computer that, more than any other machine, propelled the world into the digital age, and who then shepherded the internet into broader use as director of the National Science Foundation, died on Nov. 25 in Washington. He was 91.","Erich Bloch, Who Helped Develop IBM Mainframe, Dies at 91",article,Technology,Obituary (Obit),3,https://www.nytimes.com/2016/11/30/technology/erich-bloch-who-helped-develop-ibm-mainframe-dies-at-91.html
2016-07-18T10:21:56+0000,World’s Biggest Hedge Fund Is Said to Slow Hiring | When Yahoo Ruled the Valley | A Bank Too Big to Jail,"SOFTBANK TO BUY LEADING CHIP DESIGNER Softbank has agreed to buy ARM Holdings, the British chip designer, for $32 billion, Leslie Picker and Mark Scott report in DealBook.",Morning Agenda: SoftBank to Buy Leading Chip Designer,article,Blogs,News,27,https://news.blogs.nytimes.com/2016/07/18/morning-agenda-softbank-to-buy-leading-chip-designer/
2016-01-20T14:17:54+0000,"The transition from older, shrinking markets to new areas is proving difficult for tech’s most venerable companies. But that does not mean they won’t be able to reinvent themselves.","For the tech industry’s venerable giants, the new stuff just doesn’t seem to be worth as much as the old stuff.",Daily Report: IBM Caught Between the Old and the New,article,Technology,News,4,https://bits.blogs.nytimes.com/2016/01/20/daily-report-ibm-caught-between-the-old-and-the-new/
2016-01-05T11:16:40+0000,Markets Calmer After a Tumultuous Start to the Year | G.M. Invests in Lyft | Dalian Wanda to Buy Stake in Legendary Entertainment,"A GROWING CONFLICT IN WALL ST. BUYOUTS | A new, insidious relationship has developed among private equity firms, the banks that lend them billions to fund their buyouts and the law firms that advise on these deals,Andrew Ross Sorkin writes in the DealBook column. ",Morning Agenda:  A Growing Conflict in Wall St. Buyouts,article,Blogs,News,19,https://news.blogs.nytimes.com/2016/01/05/morning-agenda-a-growing-conflict-in-wall-st-buyouts/
2016-01-04T17:35:56+0000,The overturning of a previous conviction in an insider trading case will test the S.E.C.’s efforts in two similar cases.,"The government files insider trading charges with much fanfare, declaring that the traders will be brought to justice and investors protected. But it is often years before the cases ever reach a courtroom, and a change in the law in December 2014 is making it more difficult for the Securities and Exchange Commission to prove violations in two cases that will start in the new year.","In Cohen and I.B.M. Insider Trading Cases, Challenges for the S.E.C.",article,Business Day,News,7,https://www.nytimes.com/2016/01/05/business/dealbook/in-cohen-and-ibm-insider-trading-cases-challenges-for-the-sec.html
2016-01-19T22:05:42+0000,"The computing giant’s new areas, such as data analytics, its Watson software and cloud computing, have yet to grow fast enough to supplant company’s eroding legacy products.",IBM delivered fresh evidence on Tuesday of the financial challenge it faces in navigating a difficult transition to new technology businesses. Yet the company’s leaders insisted its performance also showed that its strategy was succeeding.,IBM Reports Declines in Fourth-Quarter Profit and Revenue Despite Gains in New Fields,article,Technology,News,1,https://www.nytimes.com/2016/01/20/technology/ibm-reports-declines-in-fourth-quarter-profit-and-revenue-despite-gains-in-new-fields.html
